badge,badge_info,badge_type,cover,index_show,is_finish,link,media_id,order,order_type,season_id,season_type,title,title_icon
会员专享,"{'bg_color': '#FB7299', 'bg_color_night': '#BB5B76', 'text': '会员专享'}",0,http://i0.hdslb.com/bfs/bangumi/image/84436bf30990997287de1ab1d6e158ecc51938a3.png,更新至第6话,0,https://www.bilibili.com/bangumi/play/ss40536,28236241,4月18日更新,0,40536,1,不能播放,
独家,"{'bg_color': '#00C0FF', 'bg_color_night': '#0B91BE', 'text': '独家'}",1,http://i0.hdslb.com/bfs/bangumi/image/403674a2f66c9a50943f841dac43a9a022631f72.png,更新至第15话,0,https://www.bilibili.com/bangumi/play/ss40264,28235968,今天1:55更新,0,40264,1,指名！,
出品,"{'bg_color': '#00C0FF', 'bg_color_night': '#0B91BE', 'text': '出品'}",1,http://i0.hdslb.com/bfs/bangumi/image/91ec1f4bc4af307dbfbd68c9ba6d838b27adee0f.png,更新至第4话,0,https://www.bilibili.com/bangumi/play/ss39180,28234872,今天1:25更新,0,39180,1,测不准的阿波连同学,
会员抢先,"{'bg_color': '#FB7299', 'bg_color_night': '#BB5B76', 'text': '会员抢先'}",0,http://i0.hdslb.com/bfs/bangumi/image/f711a34e0f18293ba5068fd85d8de891bb01c2be.jpg,更新至第4话,0,https://www.bilibili.com/bangumi/play/ss41506,28237215,今天0:30更新,0,41506,1,处刑少女的生存之道,
出品,"{'bg_color': '#00C0FF', 'bg_color_night': '#0B91BE', 'text': '出品'}",1,http://i0.hdslb.com/bfs/bangumi/image/68aee547fc85b1eab8be3d5c7e946276e4252b79.png,更新至第4话,0,https://www.bilibili.com/bangumi/play/ss39725,28235419,今天0:30更新,0,39725,1,理科生坠入情网，故尝试证明。 第二季,
会员抢先,"{'bg_color': '#FB7299', 'bg_color_night': '#BB5B76', 'text': '会员抢先'}",0,http://i0.hdslb.com/bfs/bangumi/image/f9c32a9fd97984d4600651e3f71614c43c14d902.png,更新至第3话,0,https://www.bilibili.com/bangumi/play/ss41418,28237127,昨天22:00更新,0,41418,1,恋爱要在世界征服后,
独家,"{'bg_color': '#00C0FF', 'bg_color_night': '#0B91BE', 'text': '独家'}",1,http://i0.hdslb.com/bfs/bangumi/image/56c696d589308050a40b62f9463bb199f6742ed1.jpg,更新至第11话,0,https://www.bilibili.com/bangumi/play/ss40242,28235946,昨天22:00更新,0,40242,1,女孩的钓鱼慢活,
独家,"{'bg_color': '#00C0FF', 'bg_color_night': '#0B91BE', 'text': '独家'}",1,http://i0.hdslb.com/bfs/bangumi/image/81c9dc929e6071a2d42f1b5a207bbcef4a1aead7.png,更新至第3话,0,https://www.bilibili.com/bangumi/play/ss41432,28237141,昨天21:30更新,0,41432,1,约会大作战 第四季,
会员专享,"{'bg_color': '#FB7299', 'bg_color_night': '#BB5B76', 'text': '会员专享'}",0,http://i0.hdslb.com/bfs/bangumi/image/fecb68763f24d371167389abedf05742b0bf024f.png,更新至第28话,0,https://www.bilibili.com/bangumi/play/ss38366,28234050,昨天18:25更新,0,38366,1,妖怪手表,
独家,"{'bg_color': '#00C0FF', 'bg_color_night': '#0B91BE', 'text': '独家'}",1,http://i0.hdslb.com/bfs/bangumi/image/c658b4156698f1b8c4d175d706df4eb33db61756.png,更新至第21话,0,https://www.bilibili.com/bangumi/play/ss38924,28234616,昨天18:00更新,0,38924,1,瓦尼塔斯的手记,
独家,"{'bg_color': '#00C0FF', 'bg_color_night': '#0B91BE', 'text': '独家'}",1,http://i0.hdslb.com/bfs/bangumi/image/4623d7229ad1cbe63e923ca6ba69071c0b81048f.png,更新至第7话,0,https://www.bilibili.com/bangumi/play/ss41508,28237217,昨天15:00更新,0,41508,1,环太平洋：黑色禁区 第二季,
独家,"{'bg_color': '#00C0FF', 'bg_color_night': '#0B91BE', 'text': '独家'}",1,http://i0.hdslb.com/bfs/bangumi/image/a7517ca25c5c7a132a16f589e3a3c4d9f49af196.png,更新至第2话,0,https://www.bilibili.com/bangumi/play/ss41534,28237243,昨天7:00更新,0,41534,1,银河英雄传说：全新命题 激战,
独家,"{'bg_color': '#00C0FF', 'bg_color_night': '#0B91BE', 'text': '独家'}",1,http://i0.hdslb.com/bfs/bangumi/image/ecb52c79def9f5a6099c5a0770f56e20479fb008.jpg,更新至第13话,0,https://www.bilibili.com/bangumi/play/ss40873,28236579,昨天2:25更新,0,40873,1,川尻小玉的懒散生活,
独家,"{'bg_color': '#00C0FF', 'bg_color_night': '#0B91BE', 'text': '独家'}",1,http://i0.hdslb.com/bfs/bangumi/image/e537deeab66058098fd41f45108facf9fa06372e.png,更新至第3话,0,https://www.bilibili.com/bangumi/play/ss41569,28237278,4月21日更新,0,41569,1,上班族想被治愈,
独家,"{'bg_color': '#00C0FF', 'bg_color_night': '#0B91BE', 'text': '独家'}",1,http://i0.hdslb.com/bfs/bangumi/image/b2dd5ffe8b51b4080aa678300080373ae41f7328.png,更新至第4话,0,https://www.bilibili.com/bangumi/play/ss40530,28236235,4月21日更新,0,40530,1,明日酱的水手服,
独家,"{'bg_color': '#00C0FF', 'bg_color_night': '#0B91BE', 'text': '独家'}",1,http://i0.hdslb.com/bfs/bangumi/image/1cd26af47cf9d9ca045ec36f56ce14a66867438d.png,更新至第46话,0,https://www.bilibili.com/bangumi/play/ss38353,28234037,4月21日更新,0,38353,1,通灵王,
独家,"{'bg_color': '#00C0FF', 'bg_color_night': '#0B91BE', 'text': '独家'}",1,http://i0.hdslb.com/bfs/bangumi/image/0c05a5090cefb03eac9863792cb40c3e7a1677f1.png,更新至第11话,0,https://www.bilibili.com/bangumi/play/ss40241,28235945,4月20日更新,0,40241,1,东京24区,
独家,"{'bg_color': '#00C0FF', 'bg_color_night': '#0B91BE', 'text': '独家'}",1,http://i0.hdslb.com/bfs/bangumi/image/92f45d70a0145f3cb292c79d9930db0cdea9c459.png,更新至第3话,0,https://www.bilibili.com/bangumi/play/ss41558,28237267,4月20日更新,0,41558,1,RPG不动产,
独家,"{'bg_color': '#00C0FF', 'bg_color_night': '#0B91BE', 'text': '独家'}",1,http://i0.hdslb.com/bfs/bangumi/image/fba0229f1a6eec6ed692b7ae91c634d5cbde0727.png,更新至第3话,0,https://www.bilibili.com/bangumi/play/ss41413,28237122,4月20日更新,0,41413,1,盾之勇者成名录 第二季,
独家,"{'bg_color': '#00C0FF', 'bg_color_night': '#0B91BE', 'text': '独家'}",1,http://i0.hdslb.com/bfs/bangumi/image/847e9dbb6876fb37a30199a5c88910704976d45b.png,全13话,1,https://www.bilibili.com/bangumi/play/ss38921,28234613,4月20日更新,0,38921,1,小林家的龙女仆 第二季,
会员专享,"{'bg_color': '#FB7299', 'bg_color_night': '#BB5B76', 'text': '会员专享'}",0,http://i0.hdslb.com/bfs/bangumi/image/84436bf30990997287de1ab1d6e158ecc51938a3.png,更新至第6话,0,https://www.bilibili.com/bangumi/play/ss40536,28236241,4月18日更新,0,40536,1,不能播放,
独家,"{'bg_color': '#00C0FF', 'bg_color_night': '#0B91BE', 'text': '独家'}",1,http://i0.hdslb.com/bfs/bangumi/image/403674a2f66c9a50943f841dac43a9a022631f72.png,更新至第15话,0,https://www.bilibili.com/bangumi/play/ss40264,28235968,今天1:55更新,0,40264,1,指名！,
出品,"{'bg_color': '#00C0FF', 'bg_color_night': '#0B91BE', 'text': '出品'}",1,http://i0.hdslb.com/bfs/bangumi/image/91ec1f4bc4af307dbfbd68c9ba6d838b27adee0f.png,更新至第4话,0,https://www.bilibili.com/bangumi/play/ss39180,28234872,今天1:25更新,0,39180,1,测不准的阿波连同学,
会员抢先,"{'bg_color': '#FB7299', 'bg_color_night': '#BB5B76', 'text': '会员抢先'}",0,http://i0.hdslb.com/bfs/bangumi/image/f711a34e0f18293ba5068fd85d8de891bb01c2be.jpg,更新至第4话,0,https://www.bilibili.com/bangumi/play/ss41506,28237215,今天0:30更新,0,41506,1,处刑少女的生存之道,
出品,"{'bg_color': '#00C0FF', 'bg_color_night': '#0B91BE', 'text': '出品'}",1,http://i0.hdslb.com/bfs/bangumi/image/68aee547fc85b1eab8be3d5c7e946276e4252b79.png,更新至第4话,0,https://www.bilibili.com/bangumi/play/ss39725,28235419,今天0:30更新,0,39725,1,理科生坠入情网，故尝试证明。 第二季,
会员抢先,"{'bg_color': '#FB7299', 'bg_color_night': '#BB5B76', 'text': '会员抢先'}",0,http://i0.hdslb.com/bfs/bangumi/image/f9c32a9fd97984d4600651e3f71614c43c14d902.png,更新至第3话,0,https://www.bilibili.com/bangumi/play/ss41418,28237127,昨天22:00更新,0,41418,1,恋爱要在世界征服后,
独家,"{'bg_color': '#00C0FF', 'bg_color_night': '#0B91BE', 'text': '独家'}",1,http://i0.hdslb.com/bfs/bangumi/image/56c696d589308050a40b62f9463bb199f6742ed1.jpg,更新至第11话,0,https://www.bilibili.com/bangumi/play/ss40242,28235946,昨天22:00更新,0,40242,1,女孩的钓鱼慢活,
独家,"{'bg_color': '#00C0FF', 'bg_color_night': '#0B91BE', 'text': '独家'}",1,http://i0.hdslb.com/bfs/bangumi/image/81c9dc929e6071a2d42f1b5a207bbcef4a1aead7.png,更新至第3话,0,https://www.bilibili.com/bangumi/play/ss41432,28237141,昨天21:30更新,0,41432,1,约会大作战 第四季,
会员专享,"{'bg_color': '#FB7299', 'bg_color_night': '#BB5B76', 'text': '会员专享'}",0,http://i0.hdslb.com/bfs/bangumi/image/fecb68763f24d371167389abedf05742b0bf024f.png,更新至第28话,0,https://www.bilibili.com/bangumi/play/ss38366,28234050,昨天18:25更新,0,38366,1,妖怪手表,
独家,"{'bg_color': '#00C0FF', 'bg_color_night': '#0B91BE', 'text': '独家'}",1,http://i0.hdslb.com/bfs/bangumi/image/c658b4156698f1b8c4d175d706df4eb33db61756.png,更新至第21话,0,https://www.bilibili.com/bangumi/play/ss38924,28234616,昨天18:00更新,0,38924,1,瓦尼塔斯的手记,
独家,"{'bg_color': '#00C0FF', 'bg_color_night': '#0B91BE', 'text': '独家'}",1,http://i0.hdslb.com/bfs/bangumi/image/4623d7229ad1cbe63e923ca6ba69071c0b81048f.png,更新至第7话,0,https://www.bilibili.com/bangumi/play/ss41508,28237217,昨天15:00更新,0,41508,1,环太平洋：黑色禁区 第二季,
独家,"{'bg_color': '#00C0FF', 'bg_color_night': '#0B91BE', 'text': '独家'}",1,http://i0.hdslb.com/bfs/bangumi/image/a7517ca25c5c7a132a16f589e3a3c4d9f49af196.png,更新至第2话,0,https://www.bilibili.com/bangumi/play/ss41534,28237243,昨天7:00更新,0,41534,1,银河英雄传说：全新命题 激战,
独家,"{'bg_color': '#00C0FF', 'bg_color_night': '#0B91BE', 'text': '独家'}",1,http://i0.hdslb.com/bfs/bangumi/image/ecb52c79def9f5a6099c5a0770f56e20479fb008.jpg,更新至第13话,0,https://www.bilibili.com/bangumi/play/ss40873,28236579,昨天2:25更新,0,40873,1,川尻小玉的懒散生活,
独家,"{'bg_color': '#00C0FF', 'bg_color_night': '#0B91BE', 'text': '独家'}",1,http://i0.hdslb.com/bfs/bangumi/image/e537deeab66058098fd41f45108facf9fa06372e.png,更新至第3话,0,https://www.bilibili.com/bangumi/play/ss41569,28237278,4月21日更新,0,41569,1,上班族想被治愈,
独家,"{'bg_color': '#00C0FF', 'bg_color_night': '#0B91BE', 'text': '独家'}",1,http://i0.hdslb.com/bfs/bangumi/image/b2dd5ffe8b51b4080aa678300080373ae41f7328.png,更新至第4话,0,https://www.bilibili.com/bangumi/play/ss40530,28236235,4月21日更新,0,40530,1,明日酱的水手服,
独家,"{'bg_color': '#00C0FF', 'bg_color_night': '#0B91BE', 'text': '独家'}",1,http://i0.hdslb.com/bfs/bangumi/image/1cd26af47cf9d9ca045ec36f56ce14a66867438d.png,更新至第46话,0,https://www.bilibili.com/bangumi/play/ss38353,28234037,4月21日更新,0,38353,1,通灵王,
独家,"{'bg_color': '#00C0FF', 'bg_color_night': '#0B91BE', 'text': '独家'}",1,http://i0.hdslb.com/bfs/bangumi/image/0c05a5090cefb03eac9863792cb40c3e7a1677f1.png,更新至第11话,0,https://www.bilibili.com/bangumi/play/ss40241,28235945,4月20日更新,0,40241,1,东京24区,
独家,"{'bg_color': '#00C0FF', 'bg_color_night': '#0B91BE', 'text': '独家'}",1,http://i0.hdslb.com/bfs/bangumi/image/92f45d70a0145f3cb292c79d9930db0cdea9c459.png,更新至第3话,0,https://www.bilibili.com/bangumi/play/ss41558,28237267,4月20日更新,0,41558,1,RPG不动产,
独家,"{'bg_color': '#00C0FF', 'bg_color_night': '#0B91BE', 'text': '独家'}",1,http://i0.hdslb.com/bfs/bangumi/image/fba0229f1a6eec6ed692b7ae91c634d5cbde0727.png,更新至第3话,0,https://www.bilibili.com/bangumi/play/ss41413,28237122,4月20日更新,0,41413,1,盾之勇者成名录 第二季,
独家,"{'bg_color': '#00C0FF', 'bg_color_night': '#0B91BE', 'text': '独家'}",1,http://i0.hdslb.com/bfs/bangumi/image/847e9dbb6876fb37a30199a5c88910704976d45b.png,全13话,1,https://www.bilibili.com/bangumi/play/ss38921,28234613,4月20日更新,0,38921,1,小林家的龙女仆 第二季,
会员专享,"{'bg_color': '#FB7299', 'bg_color_night': '#BB5B76', 'text': '会员专享'}",0,http://i0.hdslb.com/bfs/bangumi/image/84436bf30990997287de1ab1d6e158ecc51938a3.png,更新至第6话,0,https://www.bilibili.com/bangumi/play/ss40536,28236241,4月18日更新,0,40536,1,不能播放,
独家,"{'bg_color': '#00C0FF', 'bg_color_night': '#0B91BE', 'text': '独家'}",1,http://i0.hdslb.com/bfs/bangumi/image/403674a2f66c9a50943f841dac43a9a022631f72.png,更新至第15话,0,https://www.bilibili.com/bangumi/play/ss40264,28235968,今天1:55更新,0,40264,1,指名！,
出品,"{'bg_color': '#00C0FF', 'bg_color_night': '#0B91BE', 'text': '出品'}",1,http://i0.hdslb.com/bfs/bangumi/image/91ec1f4bc4af307dbfbd68c9ba6d838b27adee0f.png,更新至第4话,0,https://www.bilibili.com/bangumi/play/ss39180,28234872,今天1:25更新,0,39180,1,测不准的阿波连同学,
会员抢先,"{'bg_color': '#FB7299', 'bg_color_night': '#BB5B76', 'text': '会员抢先'}",0,http://i0.hdslb.com/bfs/bangumi/image/f711a34e0f18293ba5068fd85d8de891bb01c2be.jpg,更新至第4话,0,https://www.bilibili.com/bangumi/play/ss41506,28237215,今天0:30更新,0,41506,1,处刑少女的生存之道,
出品,"{'bg_color': '#00C0FF', 'bg_color_night': '#0B91BE', 'text': '出品'}",1,http://i0.hdslb.com/bfs/bangumi/image/68aee547fc85b1eab8be3d5c7e946276e4252b79.png,更新至第4话,0,https://www.bilibili.com/bangumi/play/ss39725,28235419,今天0:30更新,0,39725,1,理科生坠入情网，故尝试证明。 第二季,
会员抢先,"{'bg_color': '#FB7299', 'bg_color_night': '#BB5B76', 'text': '会员抢先'}",0,http://i0.hdslb.com/bfs/bangumi/image/f9c32a9fd97984d4600651e3f71614c43c14d902.png,更新至第3话,0,https://www.bilibili.com/bangumi/play/ss41418,28237127,昨天22:00更新,0,41418,1,恋爱要在世界征服后,
独家,"{'bg_color': '#00C0FF', 'bg_color_night': '#0B91BE', 'text': '独家'}",1,http://i0.hdslb.com/bfs/bangumi/image/56c696d589308050a40b62f9463bb199f6742ed1.jpg,更新至第11话,0,https://www.bilibili.com/bangumi/play/ss40242,28235946,昨天22:00更新,0,40242,1,女孩的钓鱼慢活,
独家,"{'bg_color': '#00C0FF', 'bg_color_night': '#0B91BE', 'text': '独家'}",1,http://i0.hdslb.com/bfs/bangumi/image/81c9dc929e6071a2d42f1b5a207bbcef4a1aead7.png,更新至第3话,0,https://www.bilibili.com/bangumi/play/ss41432,28237141,昨天21:30更新,0,41432,1,约会大作战 第四季,
会员专享,"{'bg_color': '#FB7299', 'bg_color_night': '#BB5B76', 'text': '会员专享'}",0,http://i0.hdslb.com/bfs/bangumi/image/fecb68763f24d371167389abedf05742b0bf024f.png,更新至第28话,0,https://www.bilibili.com/bangumi/play/ss38366,28234050,昨天18:25更新,0,38366,1,妖怪手表,
独家,"{'bg_color': '#00C0FF', 'bg_color_night': '#0B91BE', 'text': '独家'}",1,http://i0.hdslb.com/bfs/bangumi/image/c658b4156698f1b8c4d175d706df4eb33db61756.png,更新至第21话,0,https://www.bilibili.com/bangumi/play/ss38924,28234616,昨天18:00更新,0,38924,1,瓦尼塔斯的手记,
独家,"{'bg_color': '#00C0FF', 'bg_color_night': '#0B91BE', 'text': '独家'}",1,http://i0.hdslb.com/bfs/bangumi/image/4623d7229ad1cbe63e923ca6ba69071c0b81048f.png,更新至第7话,0,https://www.bilibili.com/bangumi/play/ss41508,28237217,昨天15:00更新,0,41508,1,环太平洋：黑色禁区 第二季,
独家,"{'bg_color': '#00C0FF', 'bg_color_night': '#0B91BE', 'text': '独家'}",1,http://i0.hdslb.com/bfs/bangumi/image/a7517ca25c5c7a132a16f589e3a3c4d9f49af196.png,更新至第2话,0,https://www.bilibili.com/bangumi/play/ss41534,28237243,昨天7:00更新,0,41534,1,银河英雄传说：全新命题 激战,
独家,"{'bg_color': '#00C0FF', 'bg_color_night': '#0B91BE', 'text': '独家'}",1,http://i0.hdslb.com/bfs/bangumi/image/ecb52c79def9f5a6099c5a0770f56e20479fb008.jpg,更新至第13话,0,https://www.bilibili.com/bangumi/play/ss40873,28236579,昨天2:25更新,0,40873,1,川尻小玉的懒散生活,
独家,"{'bg_color': '#00C0FF', 'bg_color_night': '#0B91BE', 'text': '独家'}",1,http://i0.hdslb.com/bfs/bangumi/image/e537deeab66058098fd41f45108facf9fa06372e.png,更新至第3话,0,https://www.bilibili.com/bangumi/play/ss41569,28237278,4月21日更新,0,41569,1,上班族想被治愈,
独家,"{'bg_color': '#00C0FF', 'bg_color_night': '#0B91BE', 'text': '独家'}",1,http://i0.hdslb.com/bfs/bangumi/image/b2dd5ffe8b51b4080aa678300080373ae41f7328.png,更新至第4话,0,https://www.bilibili.com/bangumi/play/ss40530,28236235,4月21日更新,0,40530,1,明日酱的水手服,
独家,"{'bg_color': '#00C0FF', 'bg_color_night': '#0B91BE', 'text': '独家'}",1,http://i0.hdslb.com/bfs/bangumi/image/1cd26af47cf9d9ca045ec36f56ce14a66867438d.png,更新至第46话,0,https://www.bilibili.com/bangumi/play/ss38353,28234037,4月21日更新,0,38353,1,通灵王,
独家,"{'bg_color': '#00C0FF', 'bg_color_night': '#0B91BE', 'text': '独家'}",1,http://i0.hdslb.com/bfs/bangumi/image/0c05a5090cefb03eac9863792cb40c3e7a1677f1.png,更新至第11话,0,https://www.bilibili.com/bangumi/play/ss40241,28235945,4月20日更新,0,40241,1,东京24区,
独家,"{'bg_color': '#00C0FF', 'bg_color_night': '#0B91BE', 'text': '独家'}",1,http://i0.hdslb.com/bfs/bangumi/image/92f45d70a0145f3cb292c79d9930db0cdea9c459.png,更新至第3话,0,https://www.bilibili.com/bangumi/play/ss41558,28237267,4月20日更新,0,41558,1,RPG不动产,
独家,"{'bg_color': '#00C0FF', 'bg_color_night': '#0B91BE', 'text': '独家'}",1,http://i0.hdslb.com/bfs/bangumi/image/fba0229f1a6eec6ed692b7ae91c634d5cbde0727.png,更新至第3话,0,https://www.bilibili.com/bangumi/play/ss41413,28237122,4月20日更新,0,41413,1,盾之勇者成名录 第二季,
独家,"{'bg_color': '#00C0FF', 'bg_color_night': '#0B91BE', 'text': '独家'}",1,http://i0.hdslb.com/bfs/bangumi/image/847e9dbb6876fb37a30199a5c88910704976d45b.png,全13话,1,https://www.bilibili.com/bangumi/play/ss38921,28234613,4月20日更新,0,38921,1,小林家的龙女仆 第二季,
会员专享,"{'bg_color': '#FB7299', 'bg_color_night': '#BB5B76', 'text': '会员专享'}",0,http://i0.hdslb.com/bfs/bangumi/image/84436bf30990997287de1ab1d6e158ecc51938a3.png,更新至第6话,0,https://www.bilibili.com/bangumi/play/ss40536,28236241,4月18日更新,0,40536,1,不能播放,
独家,"{'bg_color': '#00C0FF', 'bg_color_night': '#0B91BE', 'text': '独家'}",1,http://i0.hdslb.com/bfs/bangumi/image/403674a2f66c9a50943f841dac43a9a022631f72.png,更新至第15话,0,https://www.bilibili.com/bangumi/play/ss40264,28235968,今天1:55更新,0,40264,1,指名！,
出品,"{'bg_color': '#00C0FF', 'bg_color_night': '#0B91BE', 'text': '出品'}",1,http://i0.hdslb.com/bfs/bangumi/image/91ec1f4bc4af307dbfbd68c9ba6d838b27adee0f.png,更新至第4话,0,https://www.bilibili.com/bangumi/play/ss39180,28234872,今天1:25更新,0,39180,1,测不准的阿波连同学,
会员抢先,"{'bg_color': '#FB7299', 'bg_color_night': '#BB5B76', 'text': '会员抢先'}",0,http://i0.hdslb.com/bfs/bangumi/image/f711a34e0f18293ba5068fd85d8de891bb01c2be.jpg,更新至第4话,0,https://www.bilibili.com/bangumi/play/ss41506,28237215,今天0:30更新,0,41506,1,处刑少女的生存之道,
出品,"{'bg_color': '#00C0FF', 'bg_color_night': '#0B91BE', 'text': '出品'}",1,http://i0.hdslb.com/bfs/bangumi/image/68aee547fc85b1eab8be3d5c7e946276e4252b79.png,更新至第4话,0,https://www.bilibili.com/bangumi/play/ss39725,28235419,今天0:30更新,0,39725,1,理科生坠入情网，故尝试证明。 第二季,
会员抢先,"{'bg_color': '#FB7299', 'bg_color_night': '#BB5B76', 'text': '会员抢先'}",0,http://i0.hdslb.com/bfs/bangumi/image/f9c32a9fd97984d4600651e3f71614c43c14d902.png,更新至第3话,0,https://www.bilibili.com/bangumi/play/ss41418,28237127,昨天22:00更新,0,41418,1,恋爱要在世界征服后,
独家,"{'bg_color': '#00C0FF', 'bg_color_night': '#0B91BE', 'text': '独家'}",1,http://i0.hdslb.com/bfs/bangumi/image/56c696d589308050a40b62f9463bb199f6742ed1.jpg,更新至第11话,0,https://www.bilibili.com/bangumi/play/ss40242,28235946,昨天22:00更新,0,40242,1,女孩的钓鱼慢活,
独家,"{'bg_color': '#00C0FF', 'bg_color_night': '#0B91BE', 'text': '独家'}",1,http://i0.hdslb.com/bfs/bangumi/image/81c9dc929e6071a2d42f1b5a207bbcef4a1aead7.png,更新至第3话,0,https://www.bilibili.com/bangumi/play/ss41432,28237141,昨天21:30更新,0,41432,1,约会大作战 第四季,
会员专享,"{'bg_color': '#FB7299', 'bg_color_night': '#BB5B76', 'text': '会员专享'}",0,http://i0.hdslb.com/bfs/bangumi/image/fecb68763f24d371167389abedf05742b0bf024f.png,更新至第28话,0,https://www.bilibili.com/bangumi/play/ss38366,28234050,昨天18:25更新,0,38366,1,妖怪手表,
